SUBSTÂNCIA,CÓDIGO GGREM,PMC Sem Imposto
ACETATO DE NOMEGESTROL;ESTRADIOL HEMI-HIDRATADO,525514060016607,44.71
ACETATO DE NORETISTERONA,533022100080817,22.99
ACETATO DE NORETISTERONA;ESTRADIOL HEMI-HIDRATADO,523703201116416,78.45
ACETATO DE OCTREOTIDA,526513701155411,321.42
ACETATO DE PREDNISOLONA,501004601173313,42.08
ACETATO DE RACEALFATOCOFEROL,508022030153017,36.39
ACETATO DE RACEALFATOCOFEROL;BETACAROTENO;SELÊNIO;COBRE;ÁCIDO ASCÓRBICO;ZINCO,524820030010007,87.34
ACETATO DE RACEALFATOCOFEROL;PALMITATO DE RETINOL;COLECALCIFEROL,517700103135419,70.37
ACETATO DE RACEALFATOCOFEROL;ÁCIDO FÓLICO,504120100070007,64.9
ACETATO DE RETINOL;CLORIDRATO DE PIRIDOXINA;COLECALCIFEROL,517300701132310,55.57
ACETATO DE RETINOL;COLECALCIFEROL,501120120031907,8.05
ACETATO DE SÓDIO TRIHIDRATADO,540620080003107,491.55
ACETATO DE TERLIPRESSINA,521400302157318,441.14
ACETATO DE TOCOFEROL;ÁCIDO FÓLICO,504117080058303,25.17
ACETATO DE TRIPTORRELINA,521400401155410,940.49
ACETATO DE ULIPRISTAL,565618040000217,38.19
ACETAZOLAMIDA,533020501119410,18.62
ACETILCISTEÍNA,508017603134129,29.91
ACETILRACEMETIONINA;BETAÍNA;CITRATO DE COLINA,533021120076617,13.13
ACETONIDA DE TRIANCINOLONA,576720090089117,86.08
ACICLOVIR,508017100119606,90.34
ACIDO ACETILSALICILICO,526221060018307,6.11
ACIDO ACETILSALICILICO;ACIDO CITRICO;BICARBONATO DE SÓDIO;CARBONATO DE SÓDIO,597223050002717,10.78
ACIDO ACETILSALICILICO;HIDROXIDO DE ALUMÍNIO;CAFEÍNA;MALEATO DE MEPIRAMINA,528120050015717,190.72
ACIDO CITRICO;BICARBONATO DE SÓDIO;CARBONATO DE SÓDIO,510620060055007,2.62
ACIDO LÁCTICO;ÁCIDO SALICÍLICO,522601101173312,30.12
ACITRETINA,521913030018914,646.73
ACTAEA RACEMOSA L.,524820010008107,71.47
ADALIMUMABE,509520120028207,2176.56
ADAPALENO,509023100029503,31.49
ADAPALENO;FOSFATO DE CLINDAMICINA,521904503172319,59.46
ADAPALENO;PERÓXIDO DE BENZOÍLA,510102001171319,104.91
AESCULUS HIPPOCASTANUM L.,516120030003507,44.99
AFLIBERCEPTE,538913020021302,5985.28
AGOMELATINA,541818100089306,35.03
ALANTOÍNA;ACETATO DE RACEALFATOCOFEROL;PALMITATO DE RETINOL;COLECALCIFEROL,506715202163419,59.73
ALANTOÍNA;HEPARINA SÓDICA SUÍNA,504101401161311,88.6
ALBENDAZOL,510608802130311,17.43
ALCAFTADINA,501012030011902,57.4
ALENDRONATO DE SÓDIO,508017100119806,35.11
ALENDRONATO DE SÓDIO TRI-HIDRATADO,507731501119419,74.26
ALENDRONATO DE SÓDIO;COLECALCIFEROL,525503502119315,183.95
ALENDRONATO SÓDICO TRIHIDRATADO,509000406118415,161.86
ALENTUZUMABE,576720030060017,54703.8
ALFA-ALBUTREPENONACOGUE,502619030008507,2861.73
ALFA-ASFOTASE,565518120000201,84102.41
ALFA-AVALGLICOSIDASE,576722040097702,5815.36
ALFACALCIDOL,531614050073803,112.49
ALFACORIFOLITROPINA,525522060023517,1810.27
ALFACORIOGONADOTROPINA,525413070044403,498.61
ALFADARBEPOETINA,544115100001017,296.46
ALFADORNASE,529204301157318,1844.36
ALFAEFMOROCTOCOGUE,576720070079717,1270.59
ALFAEFTRENONACOGUE,576720070079117,1860.1
ALFAEPOETINA,552919040075717,59.67
ALFAEPTACOGUE ATIVADO,526601504157414,5496.68
ALFAESTRADIOL,523717100036204,176.55
ALFAFOLITROPINA,525413010043803,1071.17
ALFAINTERFERONA 2A,529205304151319,169.68
ALFAINTERFERONA 2B,552919040076517,3065.09
ALFALONOCTOCOGUE,502620090009807,1126.29
ALFALUTROPINA;ALFAFOLITROPINA,525421101110319,391.43
ALFAMOROCTOCOGUE,522720060088317,1151.46
ALFANONACOGUE,522720050085517,1254.04
ALFAOXOFENILPROPIONATO DE CÁLCIO;RACEALFAOXOGAMAMETILPENTANOATO DE CÁLCIO;TRIPTOFANO;RACEALFA-HIDROXIGAMAMETILTIOBUTANOATO DE CÁLCIO;RACEALFAOXOBETAMETILPENTANOATO DE CÁLCIO;HISTIDINA;ACETATO DE LISINA;TREONINA;TIROSINA;RACEALFAOXOBETAMETILBUTANOATO DE CÁLCIO,509504301158411,543.92
ALFASSEBELIPASE,565518060000101,50292.28
ALFATIROTROPINA,576720020055217,5989.76
ALFATUROCTOCOGUE,526618040009407,1005.63
ALFATUROCTOCOGUE PEGOL,526623020010707,1676.06
ALFAVELAGLICERASE,501121020037817,6507.52
ALIROCUMABE,576720040063617,1385.88
ALOPURINOL,511500201118114,32.94
ALOÍNA,522101501113412,29.46
ALPELISIBE,526520020094707,23676.85
ALPRAZOLAM,508018804117114,46.6
ALPROSTADIL,522720030084207,86.04
ALPROSTADIL ALFACICLODEXTRINA,552919120086617,1143.79
AMBRISENTANA,510612201111211,2508.41
AMINAFTONA,521018010009603,22.81
AMISSULPRIDA,576720010051617,116.83
AMOROLFINA,510100901165319,62.83
AMOXICILINA,508000305151111,28.15
AMOXICILINA SÓDICA;SULBACTAM SÓDICO,536500804152310,111.05
AMOXICILINA TRI-HIDRATADA,508016070111506,93.72
AMOXICILINA TRIHIDRATADA,508000301113116,24.73
AMOXICILINA TRIHIDRATADA;CLAVULANATO DE POTÁSSIO,508000206110113,156.67
AMOXICILINA TRIHIDRATADA;ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO;CLARITROMICINA,541820020118607,268.19
AMOXICILINA TRIHIDRATADA;LANSOPRAZOL;CLARITROMICINA,520731102114112,219.71
AMOXICILINA TRIHIDRATADA;OMEPRAZOL;CLARITROMICINA,500506103112412,342.65
AMOXICILINA TRIHIDRATADA;SULBACTAM PIVOXILA,536500809111310,129.13
AMOXICILINA;AMOXICILINA TRI-HIDRATADA,508000306131112,44.28
AMPICILINA,507701906137119,23.23
AMPICILINA ANIDRA,508000404117319,30.41
ANANAS COMOSUS (L.) MERRIL.,505620050045107,47.51
ANASTROZOL,523713010026903,1117.65
ANATOXINA TETÂNICA;ANATOXINA DIFTÉRICA;ANTÍGENO PERTUSSIS,545316020001102,5911.61
ANFOTERICINA B;TETRACICLINA,533503802164417,58.64
ANIDULAFUNGINA,522712120030006,417.58
ANTIMONIATO DE MEGLUMINA,576720020056217,542.15
ANTÍGENO DE SUPERFÍCIE DA HEPATITE B,510602505150317,112.53
ANTÍGENO HBS,527322060020017,100.59
APALUTAMIDA,514519010035302,14246.23
APIXABANA,511523020078606,55.78
APREMILASTE,544120110005217,4512.58
ARIPIPRAZOL,511516100063606,343.56
ARMODAFINILA,537521030009907,307.25
ASCORBATO DE SÓDIO;CITRATO DE ZINCO TRI-HIDRATADO;COLECALCIFEROL,538921030033407,46.2
ASPARTATO DE ARGININA,536214070005614,56.59
ASPARTATO DE ARGININA;ÁCIDO ASCÓRBICO,506320050033307,35.55
ASPARTATO DE MAGNÉSIO;CLORIDRATO DE TIAMINA;ASPARTATO DE POTÁSSIO;ACETATO DE TOCOFEROL;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA,505519120020607,23.24
ASPARTATO DE ORNITINA,504109202117316,106.35
ASPARTATO DE ORNITINA;CLORIDRATO DE ARGININA;CITRULINA,521001501113410,11.59
ATALURENO,586020050000307,24812.25
ATENOLOL,511500806117419,13.22
ATENOLOL;BESILATO DE ANLODIPINO,541818110093506,14.5
ATENOLOL;CLORTALIDONA,508022903116114,48.43
ATORVASTATINA CÁLCICA,508013100099303,25.38
ATROPA BELLADONNA,532319120009007,5.84
AXETIL CEFUROXIMA,511522100077117,166.93
AXETILCEFUROXIMA,520723070118306,124.54
AXITINIBE,522720020083617,18065.91
AZILSARTANA MEDOXOMILA POTÁSSICA,501114090023201,229.83
AZITROMICINA,541819020102506,35.76
AZITROMICINA DI-HIDRATADA,508018901112113,44.39
AZITROMICINA DI-HIDRATADA;AZITROMICINA,531600408134416,56.68
BACILLUS CEREUS,510500101131415,583.02
BACITRACINA ZÍNCICA,532313090007104,12.55
BACITRACINA;SULFATO DE NEOMICINA,515100501168415,13.81
BACLOFENO,526508601113419,48.52
BACOPA MONNIERI (L.) WETTST.,511420070008907,86.64
BALOXAVIR MARBOXILA,529223080027402,236.35
BARICITINIBE,507619020021501,1864.83
BELIMUMABE,510613030050002,969.04
BELZUTIFANO,527323080024101,104845.53
BEMIPARINA SÓDICA,541815070012002,20.28
BENFOTIAMINA,504124050087506,43.21
BENZBROMARONA,504917100010613,30.65
BENZENO;MENTOL,522100201132413,24.29
BENZILPENICILINA BENZATINA,508000906155314,847.15
BENZNIDAZOL,517006102111316,110.82
BENZOATO DE ALOGLIPTINA,501114030021802,56.9
BENZOATO DE ALOGLIPTINA;CLORIDRATO DE METFORMINA,501115110025205,224.58
BENZOATO DE ALOGLIPTINA;CLORIDRATO DE PIOGLITAZONA,501116070027205,223.01
BENZOATO DE BENZILA,517601601171419,15.98
BENZOATO DE RIZATRIPTANA,525501401110219,30.48
BENZOATO DE SÓDIO,536214100006117,45.57
BENZOCAÍNA,507200302174418,14.25
BENZOILMETRONIDAZOL,507733701131117,14.74
BESILATO DE ANLODIPINO,511500408111410,17.05
BESILATO DE ANLODIPINO;HEMIFUMARATO DE BISOPROLOL,525421020052105,72.62
BESILATO DE ANLODIPINO;OLMESARTANA MEDOXOMILA,541816080016706,47.72
BESILATO DE ANLODIPINO;PERINDOPRIL ARGININA,531317040008105,16.08
BESILATO DE ANLODIPINO;TELMISARTANA,504505601111314,32.48
BESILATO DE ATRACÚRIO,509521070035806,519.56
BESILATO DE LEVANLODIPINO,541818100090904,38.17
BESILATO DE LEVANLODIPINO HEMIPENTAIDRATADO,504623070092606,37.23
BETA-AGALSIDASE,576720020056117,19298.19
BETACIPIONATO DE ESTRADIOL;ACETATO DE MEDROXIPROGESTERONA,504110101159416,32.99
BETAEPOETINA,529204402158212,3122.52
BETAFOLITROPINA,525522040022117,1278.36
BETAINTERFERONA 1A,525420402151415,14670.69
BETAINTERFERONA 1B,538912040011712,9272.09
BETAMETASONA,508022040153317,20.97
BETAMETASONA;CETOCONAZOL,520705901161414,40.29
BETAMETASONA;DEXCLORFENIRAMINA,506401601138419,34.57
BETAMETASONA;FOSFATO DISSÓDICO DE BETAMETASONA,540917030027017,9.64
BETAMETASONA;MALEATO DE DEXCLORFENIRAMINA,508022040156017,38.09
BETAMETASONA;SULFATO DE NEOMICINA;CETOCONAZOL,527921010039007,33.29
BETANONACOGUE PEGOL,526624020012007,4650.3
BETAÍNA,576920010000107,2679.78
BEZAFIBRATO,507726801118111,33.73
BICALUTAMIDA,508012050091706,897.96
BICARBONATO DE POTÁSSIO;UNDECILENOIL ALGINATO DE SÓDIO/TEA,540114030001805,31.1
BICARBONATO DE SÓDIO;CARBONATO DE SÓDIO,517300401139417,61.64
BILASTINA,508022010148006,33.86
BIMATOPROSTA,501003601171312,162.64
BIMEQUIZUMABE,525224020028302,5897.78
BINIMETINIBE,522723010091402,11544.59
BIOTINA,552916080064207,226.26
BISACODIL,533019501119417,6.63
BISGLICINATO FERROSO,531602602116416,25.98
BISGLICINATO FERROSO;ÁCIDO FÓLICO,531625401117414,34.51
BISOPROLOL;HIDROCLOROTIAZIDA,525412010042703,118.61
BISSULFATO DE CLOPIDOGREL,508028501117417,30.88
BISSULFATO DE CLOPIDOGREL;ÁCIDO ACETILSALICÍLICO,552919120091607,129.13
BORAGO OFFICINALIS L.,511420080009007,80.42
BORATO DE SÓDIO;CLORETO DE CETILPIRIDÍNIO;BENZOCAÍNA,516301202174411,19.4
BOSENTANA,506917030030106,5463.73
BOSENTANA MONOIDRATADA,514519120034317,2731.86
BOSUTINIBE MONOIDRATADO,522723010091802,18644.18
BREXPIPRAZOL,524220080004407,67.01
BRIGATINIBE,501120070031007,5468.33
BRINZOLAMIDA,500900401178310,87.84
BRIVARACETAM,525220030023007,15.28
BRODALUMABE,541122090003202,6580.74
BROMAZEPAM,507725203111113,23.1
BROMAZEPAM;SULPIRIDA,540923030059417,35.4
BROMETO DE GLICOPIRRÔNIO,526515030080802,218.49
BROMETO DE GLICOPIRRÔNIO;DIPROPIONATO DE BECLOMETASONA;FUMARATO DE FORMOTEROL DI-HIDRATADO,508520050012707,172.83
BROMETO DE IPRATRÓPIO,507739601171116,16.33
BROMETO DE IPRATRÓPIO;BROMIDRATO DE FENOTEROL,504505701175314,19.31
BROMETO DE N-BUTILESCOPOLAMINA;DIPIRONA MONOIDRATADA;METILBROMETO DE HOMATROPINA;BROMIDRATO DE HIOSCIAMINA,531625802111417,20.06
BROMETO DE OTILÔNIO,501604102119311,60.85
BROMETO DE PINAVÉRIO,541812080003506,92.76
BROMETO DE PIRIDOSTIGMINA,541718030017817,44.8
BROMETO DE TIOTRÓPIO,504504204135219,414.32
BROMETO DE TIOTRÓPIO MONOIDRATADO;CLORIDRATO DE OLODATEROL,504520010021207,291.82
BROMETO DE UMECLIDÍNIO,510616120056407,168.9
BROMIDRATO DE CITALOPRAM,523704005116415,37.16
BROMIDRATO DE DARIFENACINA,534218030013906,43.51
BROMIDRATO DE DEXTROMETORFANO;GUAIFENESINA,528700801131419,27.69
BROMIDRATO DE ELETRIPTANA,596323030003602,15.87
BROMIDRATO DE FENOTEROL,504500605135314,8.05
BROMIDRATO DE GALANTAMINA,523715080031906,134.07
BROMIDRATO DE VORTIOXETINA,523722070046404,107.46
BROMOPRIDA,523703701119414,38.44
BUDESONIDA,508020204172418,36.7
BUDESONIDA MICRONIZADA,504118060063417,372.97
BUDESONIDA MICRONIZADA;FUMARATO DE FORMOTEROL DIIDRATADO,502303902173319,132.92
BUDESONIDA;FUMARATO DE FORMOTEROL DI-HIDRATADO,552923050159703,119.65
BUMETANIDA,500214110033617,13.84
BUPRENORFINA,542818120002404,422.73
BUTIL BROMETO DE ESCOPOLAMINA,510820090017107,17.11
BUTILBROMETO DE ESCOPOLAMINA,520716050102506,8.92
BUTILBROMETO DE ESCOPOLAMINA;DIPIRONA,507711101115411,20.54
BUTILBROMETO DE ESCOPOLAMINA;PARACETAMOL,540921020045717,25.48
CABERGOLINA,508019110127907,79.82
CABOTEGRAVIR,510623100060101,25767.91
CAFEÍNA ANIDRA;CITRATO DE ORFENADRINA;DIPIRONA,507710804139413,14.11
CAFEÍNA ANIDRA;CLORIDRATO DE ISOMETEPTENO;DIPIRONA,540921120050317,31.87
CAFEÍNA ANIDRA;DIPIRONA,504616030037506,123.01
CAFEÍNA ANIDRA;MUCATO DE ISOMETEPTENO;CLORIDRATO DE ISOMETEPTENO;DIPIRONA,505509303131412,17.18
CAFEÍNA ANIDRA;MUCATO DE ISOMETEPTENO;DIPIRONA,541717080016203,378.33
CAFEÍNA ANIDRA;ÁCIDO ACETILSALICÍLICO,531421070002707,91.54
CAFEÍNA ANIDRA;ÁCIDO ACETILSALICÍLICO;CLORIDRATO DE FENILEFRINA;MALEATO DE DEXCLORFENIRAMINA,540917040027417,8.12
CAFEÍNA;CITRATO DE ORFENADRINA;DIPIRONA,525106801111412,15.17
CAFEÍNA;HIDRÓXIDO DE ALUMÍNIO;MALEATO DE MEPIRAMINA;ÁCIDO ACETILSALICÍLICO,540900801132413,184.65
CAFEÍNA;ÁCIDO ACETIL SALICILICO,516120020003207,180.45
CAFEÍNA;ÁCIDO ACETILSALICÍLICO,538902202110418,138.44
CALCIPOTRIOL,541100301168316,101.0
CALCITONINA SINTÉTICA DE SALMÃO,519507701138417,277.53
CALCITRIOL,503421040023317,161.77
CAMBENDAZOL;MEBENDAZOL,532901401110417,23.64
CANAGLIFLOZINA HEMI-HIDRATADA,514514110027102,57.1
CANAQUINUMABE,526532001155318,64451.15
CANDESARTANA CILEXETILA,523716090034004,71.82
CAPECITABINA,508017090118504,660.79
CAPSAICINA,501601902165313,83.81
CAPTOPRIL,504916030010006,15.47
CARBACOL,527200101157418,48.81
CARBAMAZEPINA,513423100033506,34.75
CARBIDOPA (PORT. 344/98 LISTA C 1);ENTACAPONA;LEVODOPA,511521010072617,261.82
CARBIDOPA (PORT. 344/98 LISTA C 1);LEVODOPA,506714060053103,47.98
CARBOCISTEÍNA,507704102136126,18.22
CARBONATO CÁLCIO;COLECALCIFEROL,540401801110416,54.36
CARBONATO DE CÁLCIO,510612060048104,5.38
CARBONATO DE CÁLCIO 90%;CARBONATO HIDRÓXIDO DE MAGNÉSIO;HIDROXIDO DE ALUMÍNIO,528112060013703,9.96
CARBONATO DE CÁLCIO 90%;HIDRÓXIDO DE ALUMÍNIO;HIDRÓXIDO DE MAGNÉSIO,540902006119417,173.42
CARBONATO DE CÁLCIO 90%;SULFATO DE COBRE PENTAHIDRATADO;CARBONATO HIDRÓXIDO DE MAGNÉSIO;COLECALCIFEROL CRISTALIZADO;SULFATO DE MANGANÊS MONOIDRATADO;PERÓXIDO DE ZINCO,552817080001417,56.88
CARBONATO DE CÁLCIO;ALENDRONATO DE SÓDIO TRI-HIDRATADO;COLECALCIFEROL,509004601111311,175.11
CARBONATO DE CÁLCIO;CARBONATO BÁSICO DE BISMUTO;BICARBONATO DE SÓDIO;CARBONATO DE MAGNÉSIO,505620070045217,32.41
CARBONATO DE CÁLCIO;COLECALCIFEROL,552817080001517,30.5
CARBONATO DE CÁLCIO;HIDROXIDO DE MAGNESIO;HIDROXIDO DE ALUMÍNIO,541820090146107,36.14
CARBONATO DE CÁLCIO;HIDRÓXIDO DE ALUMÍNIO;HIDRÓXIDO DE MAGNÉSIO,507714502110415,19.28
CARBONATO DE CÁLCIO;LACTOGLICONATO DE CÁLCIO,510617100057517,24.77
CARBONATO DE CÁLCIO;LACTOGLICONATO DE CÁLCIO;ÁCIDO ASCÓRBICO,510617080057218,14.42
CARBONATO DE CÁLCIO;ÁCIDO ASCÓRBICO,528720090004917,15.0
CARBONATO DE LODENAFILA,506718301111217,46.31
CARBONATO DE LÍTIO,508001404110312,20.34
CARBOXIMALTOSE FERRICA,501113010020402,542.51
CARBOXIMETILCELULOSE SÓDICA,533018001171411,31.57
CARBÔMER 340,501004903161415,52.64
CARBÔMER;SORBITOL,503100901162419,42.0
CARISOPRODOL,533012120058603,20.17
CARISOPRODOL;PARACETAMOL;CAFEÍNA,500503001114411,14.52
CARISOPRODOL;PARACETAMOL;CAFEÍNA ANIDRA;DICLOFENACO SÓDICO,511509401111419,13.17
CARISOPRODOL;PARACETAMOL;CAFEÍNA;DICLOFENACO SÓDICO,516320100003007,34.34
CARMELOSE SÓDICA,506719070079317,18.11
CARVEDILOL,523700803115413,63.48
CARVÃO VEGETAL ATIVADO,533020030069407,26.97
"CASSIA ANGUSTIFOLIA, VAHL",540419120011707,45.32
CASSIA FISTULA L.;SENNA ALEXANDRINA MILL.,504623020091617,61.62
CASSIA SENNA L.,504120050068107,38.73
CEFACLOR,541820070134107,87.56
CEFACLOR MONOIDRATADO,507704304111116,111.78
CEFADROXILA,508001501116117,52.96
CEFALEXINA,541821070163406,30.58
CEFALEXINA MONOIDRATADA,508001602133114,52.85
CEFALEXINA MONOIDRATADA;CEFALEXINA,520716100105803,25.62
CEFTRIAXONA,520718040109806,131.24
CELECOXIBE,508017120120406,42.11
CENTELLA ASIATICA (L.) URB.,511420020008107,45.55
CENTELLA ASIATICA URB.,581220030000507,33.34
CEPA INFLUENZA TIPO A (H3N2);CEPA INFLUENZA TIPO A (H1N1);CEPA INFLUENZA TIPO B,502620090010007,91.27
CEPA INFLUENZA TIPO A (H3N2);CEPA INFLUENZA TIPO A (H1N1);CEPA INFLUENZA TIPO B;CEPA INFLUENZA TIPO B,510615110054302,65.93
CEPA INFLUENZA TIPO B,576720050067717,164.88
CEREUS JAMACARU;HIMATANTHUS LANCIFOLIUS;DORSTENIA MULTIFORMIS;ERYTHRINA VELUTINA,501919120000207,77.23
CERTOLIZUMABE PEGOL,525217050021917,3153.27
CETOCONAZOL,504914050009604,14.95
CETOCONAZOL;DIPROPIONATO DE BETAMETASONA,508015002168111,20.9
CETOPROFENO;OMEPRAZOL,576720040063517,57.22
CETOROLACO TROMETAMINA,501006201131318,61.45
CETRIMIDA,503100101174315,18.96
CETUXIMABE,525419505137314,1432.51
CIANOCOBALAMINA,540613020000804,236.25
"CIANOCOBALAMINA 0,1%;BETACAROTENO;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ÁCIDO FÓLICO;ÁCIDO ASCÓRBICO;COLECALCIFEROL",543822050064317,35.13
"CIANOCOBALAMINA 0,1%;NITRATO DE TIAMINA;BETACAROTENO;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ÁCIDO FÓLICO;ÓXIDO DE ZINCO;ÁCIDO ASCÓRBICO;COLECALCIFEROL",543822050064117,35.13
CICLESONIDA,501104701171319,52.71
CICLOPIROX,512118100009403,91.73
CICLOPIROX OLAMINA,512103203171416,42.5
CICLOSPORINA,511522010075006,121.57
CICLOSSILICATO DE ZIRCÔNIO SÓDICO HIDRATADO,502322030035002,164.49
CILOSTAZOL,523700902113311,31.02
CINARIZINA,514504601115316,22.26
CINCHONA CALISAYA WEDD.,532319120009107,20.4
CIPIONATO DE TESTOSTERONA,531624901159411,206.0
CIPROFIBRATO,508022110169706,50.83
CIPROFLOXACINO;CLORIDRATO DE CIPROFLOXACINO,538915100024317,107.1
CITALOPRAM;BROMIDRATO DE CITALOPRAM,529919050062206,208.69
CITRATO DE CLOMIFENO,531625101113413,62.14
CITRATO DE COLINA,533013040059204,128.12
CITRATO DE CÁLCIO;COLECALCIFEROL,508502501135316,75.45
CITRATO DE IXAZOMIBE,501118050029302,23964.96
CITRATO DE ORFENADRINA,528112110015303,6.39
CITRATO DE PENTOXIVERINA;PARACETAMOL;MALEATO DE CARBINOXAMINA;CLORIDRATO DE FENILEFRINA,533506202117420,24.96
CITRATO DE POTÁSSIO MONOIDRATADO,501601601114310,63.51
CITRATO DE SILDENAFILA,508029001118412,13.38
CITRATO DE SÓDIO DI-HIDRATADO;CLORETO DE POTÁSSIO;GLICONATO DE ZINCO;CLORETO DE SÓDIO;GLICOSE MONOIDRATADA,500223100048607,20.84
CITRATO DE SÓDIO DI-HIDRATADO;CLORETO DE POTÁSSIO;GLICONATO DE ZINCO;GLICOSE MONOIDRATADA,500223100048507,20.84
CITRATO DE SÓDIO DI-HIDRATADO;CLORETO DE POTÁSSIO;GLICONATO DE ZINCO;GLICOSE;CLORETO DE SÓDIO,506322080040207,27.06
CITRATO DE SÓDIO DI-HIDRATADO;CLORETO DE POTÁSSIO;GLICOSE;CLORETO DE SÓDIO,508011403133413,26.22
CITRATO DE SÓDIO DI-HIDRATADO;GLICOSE;CITRATO DE POTÁSSIO;CLORETO DE SÓDIO,501101402139419,11.11
CITRATO DE SÓDIO DIHIDRATADO;CITRATO DE POTÁSSIO MONOIDRATADO;GLICOSE;CLORETO DE SÓDIO,528720090005617,17.08
CITRATO DE SÓDIO;CLORETO DE POTÁSSIO;GLICOSE;CLORETO DE SÓDIO,501101403135417,11.11
CITRATO DE SÓDIO;GLICOSE;CITRATO DE POTÁSSIO;CLORETO DE SÓDIO,525419605131415,20.82
CITRATO DE TAMOXIFENO,508024010178504,247.47
CITRATO DE TOFACITINIBE,522720060088617,7574.58
CITRATO DE ZINCO TRI-HIDRATADO;ÁCIDO ASCÓRBICO,531619120085907,24.91
CLADRIBINA,525420020051407,15762.58
CLARITROMICINA,541814100008906,147.22
CLATRATO DE ETINILESTRADIOL BETACICLODEXTRINA;DROSPIRENONA,538912050016313,92.25
CLAVULANATO DE POTÁSSIO;AMOXICILINA,511512201134113,63.45
CLAVULANATO DE POTÁSSIO;AMOXICILINA TRI-HIDRATADA,508000207117111,240.23
CLAVULANATO DE POTÁSSIO;ÁCIDO CLAVULÂNICO;AMOXICILINA TRI-HIDRATADA,510619040061003,144.76
CLIOQUINOL;FLURANDRENOLIDA,504102101161312,33.67
CLIOQUINOL;HIDROCORTISONA,538815601165416,39.51
CLIOQUINOL;PREDNISOLONA;SULFATO DE POLIMIXINA B;BENZOCAÍNA,507720702169418,33.36
CLIOQUINOL;SULFATO DE GENTAMICINA;TOLNAFTATO;VALERATO DE BETAMETASONA,508021060140006,25.27
CLOBAZAM,576720030060817,16.02
CLODRONATO DISSÓDICO,538900802153316,798.73
CLONAZEPAM,508020120137907,18.17
CLONIXINATO DE LISINA,509020080023307,9.83
CLONIXINATO DE LISINA;CLORIDRATO DE CICLOBENZAPRINA,541820090145707,18.63
CLORAMBUCILA,505617060041717,128.8
CLORANFENICOL;ACETATO DE RETINOL;AMINOÁCIDOS;METIONINA (11 C),506719050078117,13.22
CLORANFENICOL;CLORIDRATO DE LIDOCAINA,504617030059017,11.76
CLORANFENICOL;COLAGENASE,506707802165411,32.59
CLORANFENICOL;FIBRINOLISINA;DESOXIRRIBONUCLEASE,506706101163414,32.78
CLORANFENICOL;LEVOMETIONINA;ACETATO DE RETINOL,501002401169316,13.54
CLORDIAZEPÓXIDO;CLORIDRATO DE AMITRIPTILINA,525123050035117,12.1
CLORETO DE AMÔNIO;CITRATO DE SÓDIO DI-HIDRATADO;CLORIDRATO DE DIFENIDRAMINA,506312802111411,17.02
CLORETO DE AMÔNIO;CITRATO DE SÓDIO DIHIDRATADO;CLORIDRATO DE DIFENIDRAMINA,506312801115411,17.02
CLORETO DE AMÔNIO;CITRATO DE SÓDIO;CLORIDRATO DE DIFENIDRAMINA,541820060128907,18.21
CLORETO DE BENZALCÔNIO,534300502271410,17.52
